id_hecho,n_victimas,fecha,franja_horaria,direccion_normalizada,comuna,longitud,latitud,victima,acusado,rol,sexo,edad,gravedad,dia_semana
2016-0001,1,2016-01-01,4.0,"PIEDRA BUENA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47533969,-34.68757022,MOTO,AUTO,CONDUCTOR,masculino,19.0,fatal,Friday
2016-0002,1,2016-01-02,1.0,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,AUTO,PASAJEROS,CONDUCTOR,masculino,70.0,fatal,Saturday
2016-0003,1,2016-01-03,7.0,ENTRE RIOS AV. 2034,1,-58.39040293,-34.63189362,MOTO,AUTO,CONDUCTOR,masculino,30.0,fatal,Sunday
2016-0004,1,2016-01-10,0.0,"LARRAZABAL AV. y VILLEGAS, CONRADO, GRAL.",8,-58.46503904,-34.68092974,MOTO,,CONDUCTOR,masculino,18.0,lesionado,Sunday
2016-0005,1,2016-01-21,5.0,"SAN JUAN AV. y SAENZ PEÃ‘A, LUIS, PRES.",1,-58.38718297,-34.62246630,MOTO,PASAJEROS,CONDUCTOR,masculino,29.0,fatal,Thursday
2016-0008,1,2016-01-24,18.0,27 DE FEBRERO AV. y ESCALADA AV.,8,-58.44451316,-34.68475866,MOTO,OBJETO FIJO,CONDUCTOR,masculino,30.0,fatal,Sunday
2016-0009,1,2016-01-24,19.0,"NOGOYA y GONZALEZ, JOAQUIN V.",11,-58.50095869,-34.60825440,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,masculino,29.0,fatal,Sunday
2016-0010,1,2016-01-29,15.0,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,MOTO,AUTO,CONDUCTOR,masculino,18.0,fatal,Friday
2016-0012,1,2016-02-08,1.0,"BELGRANO AV. e IRIGOYEN, BERNARDO DE",1,-58.38048577,-34.61303893,MOTO,CARGAS,CONDUCTOR,masculino,22.0,fatal,Monday
2016-0013,1,2016-02-10,11.0,ENTRE RIOS AV. 1366,1,-58.39114932,-34.62477387,PEATON,AUTO,PEATON,masculino,16.0,fatal,Wednesday
2016-0015,1,2016-02-14,5.0,"SCALABRINI ORTIZ, RAUL AV. y VERA",15,-58.43760020,-34.59912758,PEATON,AUTO,PEATON,femenino,16.0,fatal,Sunday
2016-0016,1,2016-02-14,22.0,"REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",4,-58.36882665,-34.64291993,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,femenino,19.0,fatal,Sunday
2016-0017,1,2016-02-15,16.0,"ACOSTA, MARIANO y JANER, ANA MARIA",8,-58.44989671,-34.65970435,PEATON,MOTO,PEATON,masculino,59.0,fatal,Monday
2016-0019,1,2016-02-17,9.0,"DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",9,-58.50990884,-34.65468721,PEATON,PASAJEROS,PEATON,femenino,65.0,fatal,Wednesday
2016-0020,1,2016-02-17,16.0,SUIPACHA 156,1,-58.37952223,-34.60653282,PEATON,AUTO,PEATON,masculino,59.0,fatal,Wednesday
2016-0021,1,2016-02-17,23.0,DIRECTORIO AV. y CURAPALIGUE,7,-58.45157703,-34.63063795,AUTO,AUTO,CONDUCTOR,masculino,34.0,fatal,Wednesday
2016-0022,1,2016-02-21,6.0,"9 DE JULIO AV. y ALSINA, ADOLFO",1,-58.38144696,-34.61079875,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,masculino,41.0,lesionado,Sunday
2016-0025,1,2016-02-28,4.0,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",8,-58.46244952,-34.70524971,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,masculino,34.0,fatal,Sunday
2016-0026,1,2016-02-28,7.0,HOLMBERG y VEDIA,12,-58.49216191,-34.54738649,AUTO,OBJETO FIJO,CONDUCTOR,masculino,30.0,fatal,Sunday
2016-0027,1,2016-02-28,9.0,"CURAPALIGUE AV. y DIAZ, AVELINO",7,-58.44497874,-34.63852623,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,masculino,34.0,lesionado,Sunday
2016-0028,1,2016-03-02,10.0,VIAMONTE y 9 DE JULIO AV.,1,-58.38199706,-34.60028648,PEATON,CARGAS,PEATON,masculino,50.0,fatal,Wednesday
2016-0029,1,2016-03-04,17.0,CABILDO AV. y DEHEZA,12,-58.47378664,-34.54153077,PEATON,PASAJEROS,PEATON,masculino,38.0,fatal,Friday
2016-0031,1,2016-03-08,12.0,"PAZ, GRAL. AV. y ROCA, CNEL. AV.",8,-58.47064556,-34.69843756,MOTO,PASAJEROS,CONDUCTOR,masculino,21.0,lesionado,Tuesday
2016-0034,1,2016-03-12,12.0,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.40623949,-34.65076549,PEATON,PASAJEROS,PEATON,masculino,52.0,fatal,Saturday
2016-0035,1,2016-03-13,6.0,CORRIENTES AV. y CALLAO AV.,3,-58.39228965,-34.60443527,MOTO,PASAJEROS,CONDUCTOR,masculino,34.0,fatal,Sunday
2016-0036,1,2016-03-14,0.0,"HERRERA y VALLE, ARISTOBULO DEL",4,-58.37813396,-34.63668504,MOTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,masculino,36.0,fatal,Monday
2016-0037,1,2016-03-19,11.0,LAFUENTE AV. y QUIRNO,7,-58.46275892,-34.64358293,MOTO,MOTO,CONDUCTOR,masculino,20.0,fatal,Saturday
2016-0038,1,2016-03-21,8.0,"PAZ, GRAL. AV. y ZUVIRIA",8,-58.49683458,-34.67892743,PEATON,PASAJEROS,PEATON,masculino,29.0,fatal,Monday
2016-0039,1,2016-03-23,1.0,"MITRE, BARTOLOME y PUEYRREDON AV.",3,-58.40603217,-34.60883960,MOTO,PASAJEROS,CONDUCTOR,masculino,20.0,fatal,Wednesday
2016-0041,2,2016-03-29,11.0,DIRECTORIO AV. y RIVERA INDARTE AV.,7,-58.46076550,-34.63350444,MOTO,CARGAS,CONDUCTOR,masculino,54.0,fatal,Tuesday
2016-0041,2,2016-03-29,11.0,DIRECTORIO AV. y RIVERA INDARTE AV.,7,-58.46076550,-34.63350444,MOTO,CARGAS,PASAJERO_ACOMPAÑANTE,masculino,,fatal,Tuesday
2016-0043,1,2016-03-30,18.0,"DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",8,-58.47832463,-34.67494416,PEATON,CARGAS,PEATON,femenino,56.0,fatal,Wednesday
2016-0044,1,2016-03-31,19.0,"MORENO, JOSE MARIA AV. y BALBASTRO",7,-58.43213235,-34.63693953,MOTO,MULTIPLE,CONDUCTOR,masculino,24.0,fatal,Thursday
2016-0045,1,2016-04-11,10.0,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,-58.46743471,-34.53476874,MOTO,,CONDUCTOR,masculino,,lesionado,Monday
2016-0047,1,2016-04-15,5.0,LIMA 1483,1,-58.38247061,-34.62571878,PEATON,PASAJEROS,PEATON,masculino,41.0,fatal,Friday
2016-0048,1,2016-04-15,17.0,CORRIENTES AV. y DORREGO AV.,15,-58.44759966,-34.59170240,PEATON,PASAJEROS,PEATON,femenino,,lesionado,Friday
2016-0049,1,2016-04-17,0.0,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,-58.37714647568196,-34.63657525428238,,,,,,lesionado,Sunday
2016-0050,1,2016-04-19,9.0,"GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47305463,-34.68550712,PEATON,PASAJEROS,PEATON,masculino,78.0,fatal,Tuesday
2016-0051,1,2016-04-20,4.0,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.40623949,-34.65076549,MOTO,CARGAS,CONDUCTOR,masculino,36.0,fatal,Wednesday
2016-0052,1,2016-04-20,20.0,"Avenida del Libertador 14, Vicente Lopez",13,-58.46743471,-34.53476874,MOTO,,,,,lesionado,Wednesday
2016-0053,1,2016-04-22,9.0,TRIUNVIRATO AV. y OLAZABAL AV.,12,-58.48429180,-34.57558053,PEATON,PASAJEROS,PEATON,masculino,38.0,fatal,Friday
2016-0054,1,2016-04-23,21.0,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",8,-58.48695354,-34.68795245,MOTO,MOTO,CONDUCTOR,masculino,30.0,fatal,Saturday
2016-0055,1,2016-04-25,20.0,"CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",14,-58.40021959,-34.57964781,PEATON,CARGAS,PEATON,masculino,79.0,fatal,Monday
2016-0056,1,2016-04-26,4.0,"CAMPOS, LUIS M. AV. 30",14,-58.42957885,-34.57660058,MOTO,OBJETO FIJO,CONDUCTOR,masculino,26.0,fatal,Tuesday
2016-0058,1,2016-05-04,14.0,LIMA 1471,1,-58.38247542,-34.62556293,PEATON,MOTO,PEATON,femenino,57.0,fatal,Wednesday
2016-0059,1,2016-05-08,16.0,CIUDADELA y LIMA,1,-58.38222219,-34.62728101,PEATON,PASAJEROS,PEATON,masculino,37.0,fatal,Sunday
2016-0064,1,2016-05-14,18.0,"JUSTO, JUAN B. AV. y CARRASCO AV.",10,-58.49485242,-34.62953445,PEATON,PASAJEROS,PEATON,masculino,20.0,lesionado,Saturday
2016-0065,1,2016-05-20,14.0,GAONA AV. y ESPINOSA,6,-58.45227946,-34.61068024,PEATON,AUTO,PEATON,masculino,20.0,fatal,Friday
2016-0067,1,2016-05-21,17.0,"DE LA TORRE, LISANDRO y SARAZA",8,-58.48455411,-34.67512760,MOTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,femenino,30.0,lesionado,Saturday
2016-0068,1,2016-05-22,22.0,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",2,-58.39056593,-34.58418569,MOTO,PASAJEROS,CONDUCTOR,masculino,58.0,lesionado,Sunday
2016-0069,1,2016-05-23,3.0,ENTRE RIOS AV. y FILIBERTO,3,-58.39118948,-34.62704273,AUTO,CARGAS,CONDUCTOR,masculino,30.0,fatal,Monday
2016-0073,1,2016-06-11,15.0,"MAGARIÃ‘OS CERVANTES, A. 3900",10,-58.49021952,-34.62025108,MOTO,CARGAS,CONDUCTOR,masculino,23.0,lesionado,Saturday
2016-0074,1,2016-06-12,6.0,"PAZ, GRAL. AV. y SCAPINO, RODOLFO",8,-58.49896559,-34.67732118,AUTO,AUTO,CONDUCTOR,masculino,60.0,lesionado,Sunday
2016-0075,1,2016-06-12,23.0,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,8,-58.47461076,-34.66874679,PEATON,AUTO,PEATON,masculino,42.0,fatal,Sunday
